year,state,population_million,education_million,welfare_million
2000,Georgia,8.23,14865.7,2367.2
2001,Georgia,8.42,16364.3,2880.5
2002,Georgia,8.586,17480.9,2967.7
2003,Georgia,8.735,18414.3,3998.8
2004,Georgia,8.914,19408.0,2826.7
2005,Georgia,9.097,20069.0,2744.1
2006,Georgia,9.33,21439.3,3197.0
2007,Georgia,9.534,23415.0,3318.5
2008,Georgia,9.698,25877.3,3748.9
2009,Georgia,9.829,26014.6,4606.3
2010,Georgia,9.712,25164.2,6374.2
2011,Georgia,9.804,25537.3,5759.6
2012,Georgia,9.904,26427.6,4926.8
2013,Georgia,9.976,26131.3,4336.6
2014,Georgia,10.071,26200.0,4207.9
2015,Georgia,10.183,25745.7,3120.4
2016,Georgia,10.308,26942.9,3088.9
2017,Georgia,10.417,28254.8,2870.7
2018,Georgia,10.519,29660.6,2941.4
2019,Georgia,10.628,30069.4,3228.3
2020,Georgia,10.71,30436.5,3271.9
2021,Georgia,10.793,30915.4,3327.5
2022,Georgia,10.876,31676.1,3412.4
2023,Georgia,10.96,32779.9,3532.8
2024,Georgia,11.044,34230.5,3689.3
2025,Georgia,11.13,35995.7,3878.2
2026,Georgia,11.216,38018.9,4093.5
1970,Hawaii,0.77,264.2,27.2
1971,Hawaii,0.787,290.6,47.9
1972,Hawaii,0.805,312.4,81.8
1973,Hawaii,0.824,347.8,67.9
1974,Hawaii,0.843,331.6,70.5
1975,Hawaii,0.862,382.7,76.9
1976,Hawaii,0.881,427.3,156.6
1977,Hawaii,0.902,486.1,325.2
1978,Hawaii,0.922,493.3,316.5
1979,Hawaii,0.943,509.9,291.1
1980,Hawaii,0.965,569.2,313.2
1981,Hawaii,0.978,612.9,394.5
1982,Hawaii,0.992,655.5,415.5
1983,Hawaii,1.006,723.6,437.0
1984,Hawaii,1.02,721.5,416.4
1985,Hawaii,1.034,743.7,439.3
1986,Hawaii,1.048,819.4,424.3
1987,Hawaii,1.063,836.0,461.3
1988,Hawaii,1.078,900.9,454.0
1989,Hawaii,1.093,1007.7,502.7
1990,Hawaii,1.108,1135.4,637.0
1991,Hawaii,1.118,1304.5,709.7
1992,Hawaii,1.128,1381.7,616.5
1993,Hawaii,1.138,1473.3,828.4
1994,Hawaii,1.148,1522.3,844.3
1995,Hawaii,1.159,1676.3,972.4
1996,Hawaii,1.169,1573.4,956.7
1997,Hawaii,1.18,1578.3,842.8
1998,Hawaii,1.19,1659.1,762.9
1999,Hawaii,1.201,1782.7,694.4
2000,Hawaii,1.212,1856.0,771.6
2001,Hawaii,1.218,2219.7,786.7
2002,Hawaii,1.228,2286.7,844.8
2003,Hawaii,1.239,2357.9,941.9
2004,Hawaii,1.253,2515.3,755.3
2005,Hawaii,1.266,2678.6,757.2
2006,Hawaii,1.276,2944.2,756.8
2007,Hawaii,1.277,3271.6,789.3
2008,Hawaii,1.287,3544.7,890.6
2009,Hawaii,1.295,3591.0,1187.9
2010,Hawaii,1.364,3292.3,1446.1
2011,Hawaii,1.38,3381.1,1263.6
2012,Hawaii,1.395,3515.6,1167.7
2013,Hawaii,1.409,3419.5,1050.3
2014,Hawaii,1.415,3417.1,1124.2
2015,Hawaii,1.423,3211.9,980.1
2016,Hawaii,1.429,3424.9,978.1
2017,Hawaii,1.426,3446.2,981.6
2018,Hawaii,1.423,3696.4,1031.5
2019,Hawaii,1.416,3826.9,1131.5
2020,Hawaii,1.407,3919.6,1146.4
2021,Hawaii,1.398,3996.8,1158.8
2022,Hawaii,1.39,4072.5,1173.4
2023,Hawaii,1.381,4154.5,1193.0
2024,Hawaii,1.373,4248.4,1219.5
2025,Hawaii,1.365,4359.2,1253.9
2026,Hawaii,1.356,4490.6,1297.1
1970,Idaho,0.713,169.2,22.1
1971,Idaho,0.733,184.2,27.4
1972,Idaho,0.754,209.3,37.0
1973,Idaho,0.776,211.5,36.1
1974,Idaho,0.798,240.8,39.6
1975,Idaho,0.82,328.6,47.5
1976,Idaho,0.844,342.4,70.7
1977,Idaho,0.868,378.5,123.5
1978,Idaho,0.892,411.6,129.2
1979,Idaho,0.918,445.4,150.9
1980,Idaho,0.944,489.8,184.4
1981,Idaho,0.95,560.1,199.0
1982,Idaho,0.956,585.0,251.0
1983,Idaho,0.962,597.5,269.0
1984,Idaho,0.969,644.4,228.3
1985,Idaho,0.975,720.4,258.5
1986,Idaho,0.981,773.7,270.7
1987,Idaho,0.987,825.7,293.1
1988,Idaho,0.994,831.4,313.8
1989,Idaho,1.0,909.6,345.2
1990,Idaho,1.007,1009.5,364.1
1991,Idaho,1.032,1159.4,436.7
1992,Idaho,1.059,1264.0,274.7
1993,Idaho,1.085,1296.4,301.6
1994,Idaho,1.113,1429.2,309.7
1995,Idaho,1.141,1673.2,381.1
1996,Idaho,1.17,1827.1,379.1
1997,Idaho,1.2,1872.3,389.8
1998,Idaho,1.231,1952.6,375.6
1999,Idaho,1.262,2049.6,370.8
2000,Idaho,1.3,2156.0,367.2
2001,Idaho,1.321,2320.3,478.0
2002,Idaho,1.342,2451.4,513.5
2003,Idaho,1.364,2529.1,608.1
2004,Idaho,1.392,2670.9,544.4
2005,Idaho,1.426,2817.7,471.0
2006,Idaho,1.464,2917.7,463.0
2007,Idaho,1.499,3011.1,491.3
2008,Idaho,1.528,3212.9,574.5
2009,Idaho,1.546,3348.9,812.0
2010,Idaho,1.571,3345.5,1111.5
2011,Idaho,1.584,3179.2,993.4
2012,Idaho,1.596,3122.8,1088.9
2013,Idaho,1.612,3207.3,983.7
2014,Idaho,1.632,3238.1,1102.9
2015,Idaho,1.653,3277.8,842.9
2016,Idaho,1.684,3415.5,638.8
2017,Idaho,1.72,3628.4,670.1
2018,Idaho,1.752,3910.3,679.5
2019,Idaho,1.789,3950.7,718.5
2020,Idaho,1.827,3997.8,716.0
2021,Idaho,1.866,4066.9,721.8
2022,Idaho,1.905,4182.0,737.3
2023,Idaho,1.945,4351.0,764.6
2024,Idaho,1.987,4572.6,803.6
2025,Idaho,2.029,4840.1,852.9
2026,Idaho,2.071,5143.0,910.2
1970,Illinois,11.11,2875.3,431.6
1971,Illinois,11.142,3326.3,673.1
1972,Illinois,11.173,3488.1,953.1
1973,Illinois,11.204,4015.4,873.7
1974,Illinois,11.236,4298.2,854.2
1975,Illinois,11.267,4907.2,974.8
1976,Illinois,11.299,5220.8,1902.4
1977,Illinois,11.331,5303.5,3312.3
1978,Illinois,11.363,5748.0,3165.5
1979,Illinois,11.395,5976.8,3234.8
1980,Illinois,11.427,6516.1,3772.0
1981,Illinois,11.427,7063.2,4854.8
1982,Illinois,11.427,7402.5,5108.3
1983,Illinois,11.428,7648.4,5805.1
1984,Illinois,11.428,7990.9,4894.7
1985,Illinois,11.429,8522.7,5069.9
1986,Illinois,11.429,9347.1,5276.8
1987,Illinois,11.429,10201.5,5328.7
1988,Illinois,11.43,10463.5,5434.1
1989,Illinois,11.43,11071.0,5617.9
1990,Illinois,11.431,12122.9,6101.6
1991,Illinois,11.526,13040.9,6862.3
1992,Illinois,11.622,13669.0,5262.5
1993,Illinois,11.719,14811.8,5621.2
1994,Illinois,11.816,14782.6,5580.5
1995,Illinois,11.915,16255.5,6378.0
1996,Illinois,12.014,17336.0,6339.4
1997,Illinois,12.114,17839.3,6658.2
1998,Illinois,12.215,19764.0,6755.0
1999,Illinois,12.317,21597.7,6915.7
2000,Illinois,12.438,23184.6,6418.2
2001,Illinois,12.508,24603.8,7384.4
2002,Illinois,12.558,26514.7,8681.7
2003,Illinois,12.598,27416.5,9649.3
2004,Illinois,12.645,28841.4,9241.3
2005,Illinois,12.675,29211.9,7405.4
2006,Illinois,12.718,30027.2,7246.3
2007,Illinois,12.779,31324.9,7847.8
2008,Illinois,12.843,33428.5,8259.4
2009,Illinois,12.91,35272.4,10039.2
2010,Illinois,12.841,35289.1,13878.5
2011,Illinois,12.868,35366.1,12813.1
2012,Illinois,12.883,36366.6,12391.4
2013,Illinois,12.896,36578.8,9578.5
2014,Illinois,12.885,37741.2,9941.3
2015,Illinois,12.86,38422.0,7981.8
2016,Illinois,12.822,38400.7,7379.5
2017,Illinois,12.78,38638.4,7476.1
2018,Illinois,12.725,39521.3,7452.6
2019,Illinois,12.667,38151.9,10044.5
2020,Illinois,12.588,37507.3,10018.5
2021,Illinois,12.509,37102.6,10034.7
2022,Illinois,12.43,37213.4,10155.6
2023,Illinois,12.352,37964.9,10408.5
2024,Illinois,12.275,39390.0,10800.6
2025,Illinois,12.198,41452.6,11324.7
2026,Illinois,12.121,44063.3,11963.3
1970,Indiana,5.195,1425.7,165.8
1971,Indiana,5.224,1557.3,230.2
1972,Indiana,5.253,1787.5,306.0
1973,Indiana,5.282,1765.2,262.2
1974,Indiana,5.311,1791.2,294.1
1975,Indiana,5.341,2080.5,432.9
1976,Indiana,5.37,2191.5,593.2
1977,Indiana,5.4,2307.6,680.6
1978,Indiana,5.43,2415.7,680.1
1979,Indiana,5.46,2696.8,726.7
1980,Indiana,5.49,2961.0,1001.2
1981,Indiana,5.496,3356.0,1386.1
1982,Indiana,5.501,3606.0,1246.3
1983,Indiana,5.506,3642.7,1483.8
1984,Indiana,5.512,3946.3,1324.6
1985,Indiana,5.517,4187.5,1567.9
1986,Indiana,5.523,4578.0,1653.6
1987,Indiana,5.528,5121.9,1780.2
1988,Indiana,5.533,5472.7,1796.2
1989,Indiana,5.539,6032.2,2087.3
1990,Indiana,5.544,6391.1,2224.1
1991,Indiana,5.596,7062.1,2712.9
1992,Indiana,5.648,7576.3,1193.7
1993,Indiana,5.7,7634.1,1415.4
1994,Indiana,5.753,8276.7,1447.3
1995,Indiana,5.806,8666.1,1677.9
1996,Indiana,5.86,9349.8,1667.7
1997,Indiana,5.914,9787.0,1683.0
1998,Indiana,5.969,10431.1,1692.7
1999,Indiana,6.025,10930.0,1924.1
2000,Indiana,6.092,11671.7,2092.0
2001,Indiana,6.125,12227.5,2522.7
2002,Indiana,6.149,12504.4,2906.4
2003,Indiana,6.182,13343.3,3159.7
2004,Indiana,6.214,13949.6,3004.0
2005,Indiana,6.253,15004.9,3058.8
2006,Indiana,6.302,15281.5,3268.5
2007,Indiana,6.346,15978.0,3309.1
2008,Indiana,6.388,16001.7,3191.8
2009,Indiana,6.423,16675.9,4459.6
2010,Indiana,6.491,17000.5,5746.5
2011,Indiana,6.517,16747.5,5219.3
2012,Indiana,6.539,17247.7,3991.4
2013,Indiana,6.571,16887.7,3077.9
2014,Indiana,6.596,16885.2,3666.1
2015,Indiana,6.611,17120.2,2519.7
2016,Indiana,6.638,17893.1,2725.1
2017,Indiana,6.662,18176.7,2693.0
2018,Indiana,6.698,18767.1,2655.2
2019,Indiana,6.731,18593.1,3164.5
2020,Indiana,6.755,18438.1,3198.0
2021,Indiana,6.779,18390.3,3251.7
2022,Indiana,6.803,18576.4,3330.2
2023,Indiana,6.827,19050.2,3439.6
2024,Indiana,6.852,19822.8,3580.9
2025,Indiana,6.876,20874.1,3750.6
2026,Indiana,6.9,22161.4,3944.4
1970,Iowa,2.825,849.4,85.3
1971,Iowa,2.834,944.3,111.7
1972,Iowa,2.843,1027.1,134.7
1973,Iowa,2.852,1004.3,110.5
1974,Iowa,2.86,1118.3,108.2
1975,Iowa,2.869,1245.0,163.9
1976,Iowa,2.878,1368.8,304.0
1977,Iowa,2.887,1520.1,517.4
1978,Iowa,2.896,1585.9,554.6
1979,Iowa,2.905,1813.1,582.5
1980,Iowa,2.914,2059.0,718.5
1981,Iowa,2.9,2114.1,862.9
1982,Iowa,2.886,2223.6,934.4
1983,Iowa,2.872,2335.2,1058.3
1984,Iowa,2.858,2488.6,963.8
1985,Iowa,2.844,2617.8,1020.0
1986,Iowa,2.831,2709.0,1102.3
1987,Iowa,2.817,2847.3,1077.0
1988,Iowa,2.804,3079.6,1076.7
1989,Iowa,2.79,3326.1,1131.6
1990,Iowa,2.777,3484.5,1388.5
1991,Iowa,2.791,3750.2,1509.3
1992,Iowa,2.806,3872.4,996.2
1993,Iowa,2.821,4138.8,1032.6
1994,Iowa,2.836,4305.3,1035.5
1995,Iowa,2.851,4483.5,1172.1
1996,Iowa,2.866,4712.8,1128.7
1997,Iowa,2.881,4984.6,1154.1
1998,Iowa,2.896,5545.1,1067.4
1999,Iowa,2.911,5783.3,1103.7
2000,Iowa,2.928,6057.9,1159.7
2001,Iowa,2.929,6298.7,1409.5
2002,Iowa,2.929,6564.6,1503.6
2003,Iowa,2.933,6762.2,1673.3
2004,Iowa,2.941,7115.2,1303.2
2005,Iowa,2.949,7392.8,1274.0
2006,Iowa,2.964,7895.2,1299.6
2007,Iowa,2.979,8214.3,1285.0
2008,Iowa,2.994,8829.1,1352.8
2009,Iowa,3.008,9361.3,1696.4
2010,Iowa,3.051,9408.1,2296.5
2011,Iowa,3.067,9759.1,2038.7
2012,Iowa,3.077,9935.7,1755.2
2013,Iowa,3.094,10109.5,1602.8
2014,Iowa,3.111,10576.1,1689.6
2015,Iowa,3.123,10978.4,1482.1
2016,Iowa,3.133,11147.8,1526.1
2017,Iowa,3.144,11207.1,1514.1
2018,Iowa,3.15,11324.7,1451.6
2019,Iowa,3.16,11351.3,1431.6
2020,Iowa,3.164,11375.6,1389.3
2021,Iowa,3.168,11459.4,1367.3
2022,Iowa,3.172,11674.6,1370.4
2023,Iowa,3.175,12048.8,1403.4
2024,Iowa,3.179,12584.7,1467.1
2025,Iowa,3.183,13267.8,1558.8
2026,Iowa,3.187,14072.2,1671.9
1970,Kansas,2.249,628.4,116.7
1971,Kansas,2.26,643.8,148.3
1972,Kansas,2.272,701.5,160.8
1973,Kansas,2.283,715.9,101.2
1974,Kansas,2.294,783.7,95.4
1975,Kansas,2.306,884.9,112.0
1976,Kansas,2.317,998.1,180.5
1977,Kansas,2.329,1110.9,402.5
1978,Kansas,2.34,1221.5,387.2
1979,Kansas,2.352,1342.5,409.3
1980,Kansas,2.364,1388.0,485.5
1981,Kansas,2.375,1594.2,625.6
1982,Kansas,2.386,1702.4,631.0
1983,Kansas,2.397,1827.7,797.4
1984,Kansas,2.409,2006.3,647.4
1985,Kansas,2.42,2165.3,637.9
1986,Kansas,2.431,2324.9,690.7
1987,Kansas,2.443,2401.3,758.2
1988,Kansas,2.454,2493.4,782.6
1989,Kansas,2.466,2751.8,838.2
1990,Kansas,2.478,2981.2,960.1
1991,Kansas,2.498,3115.3,1078.6
1992,Kansas,2.518,3538.8,640.8
1993,Kansas,2.539,3650.2,730.3
1994,Kansas,2.56,3844.5,714.0
1995,Kansas,2.581,3980.3,776.4
1996,Kansas,2.602,4289.4,677.1
1997,Kansas,2.623,4199.1,675.2
1998,Kansas,2.645,4425.4,582.3
1999,Kansas,2.667,4827.7,630.2
2000,Kansas,2.693,4950.4,658.8
2001,Kansas,2.701,5372.7,889.2
2002,Kansas,2.713,5576.5,1059.0
2003,Kansas,2.722,5905.3,1281.3
2004,Kansas,2.731,6162.4,1360.6
2005,Kansas,2.742,6230.6,1103.8
2006,Kansas,2.756,6688.7,918.7
2007,Kansas,2.776,7161.7,914.7
2008,Kansas,2.797,7630.2,998.9
2009,Kansas,2.819,8527.5,1301.9
2010,Kansas,2.858,8644.0,2064.1
2011,Kansas,2.87,8462.8,1732.7
2012,Kansas,2.886,8526.3,1619.7
2013,Kansas,2.894,8562.4,1443.9
2014,Kansas,2.902,8887.3,1487.5
2015,Kansas,2.911,9351.8,1229.4
2016,Kansas,2.913,9514.2,1165.0
2017,Kansas,2.911,9943.2,1164.4
2018,Kansas,2.913,10096.1,1161.2
2019,Kansas,2.913,10060.9,1355.4
2020,Kansas,2.914,10026.3,1346.5
2021,Kansas,2.915,10043.0,1346.6
2022,Kansas,2.916,10176.3,1363.0
2023,Kansas,2.917,10453.4,1399.5
2024,Kansas,2.918,10879.7,1456.8
2025,Kansas,2.92,11444.8,1533.5
2026,Kansas,2.921,12127.5,1626.2
1970,Kentucky,3.221,716.5,100.0
1971,Kentucky,3.262,767.3,130.7
1972,Kentucky,3.304,791.0,167.3
1973,Kentucky,3.347,873.6,157.7
1974,Kentucky,3.39,948.8,154.1
1975,Kentucky,3.434,1133.2,239.1
1976,Kentucky,3.478,1267.9,356.7
1977,Kentucky,3.523,1372.5,700.2
1978,Kentucky,3.568,1436.8,639.8
1979,Kentucky,3.614,1732.1,752.9
1980,Kentucky,3.661,1873.0,971.7
1981,Kentucky,3.663,1946.3,1234.1
1982,Kentucky,3.666,1925.3,1212.9
1983,Kentucky,3.668,2169.8,1294.4
1984,Kentucky,3.671,2287.3,1200.2
1985,Kentucky,3.673,2437.5,1248.9
1986,Kentucky,3.675,2597.3,1314.0
1987,Kentucky,3.678,2705.7,1379.3
1988,Kentucky,3.68,3025.1,1493.3
1989,Kentucky,3.683,3137.0,1679.3
1990,Kentucky,3.685,3416.4,1793.4
1991,Kentucky,3.719,3807.3,2421.7
1992,Kentucky,3.754,4056.4,1336.4
1993,Kentucky,3.789,4208.7,1313.9
1994,Kentucky,3.824,4492.3,1163.8
1995,Kentucky,3.859,4818.1,1323.7
1996,Kentucky,3.895,5404.5,1213.9
1997,Kentucky,3.931,5410.8,1212.9
1998,Kentucky,3.968,5637.9,1211.8
1999,Kentucky,4.005,6046.5,1278.8
2000,Kentucky,4.049,6426.3,1376.5
2001,Kentucky,4.069,6681.6,1869.7
2002,Kentucky,4.091,6927.1,1773.7
2003,Kentucky,4.119,7347.7,2052.0
2004,Kentucky,4.148,7842.4,1867.0
2005,Kentucky,4.182,8682.2,1809.6
2006,Kentucky,4.219,9263.9,1778.3
2007,Kentucky,4.256,9827.5,1923.2
2008,Kentucky,4.288,10758.6,1932.2
2009,Kentucky,4.314,10793.8,2515.6
2010,Kentucky,4.348,11316.3,3396.9
2011,Kentucky,4.371,11539.6,3158.5
2012,Kentucky,4.388,11658.0,2937.7
2013,Kentucky,4.407,11680.1,2483.2
2014,Kentucky,4.417,11548.7,2557.1
2015,Kentucky,4.429,11961.9,1985.8
2016,Kentucky,4.44,12698.6,2042.2
2017,Kentucky,4.456,13069.3,1996.4
2018,Kentucky,4.464,13118.7,1974.9
2019,Kentucky,4.472,12889.3,2057.6
2020,Kentucky,4.477,12829.5,2040.3
2021,Kentucky,4.482,12827.5,2033.5
2022,Kentucky,4.487,12965.5,2050.6
2023,Kentucky,4.492,13279.6,2097.8
2024,Kentucky,4.497,13779.3,2176.7
2025,Kentucky,4.502,14455.1,2285.6
2026,Kentucky,4.507,15283.2,2420.4
1970,Louisiana,3.645,762.9,136.9
1971,Louisiana,3.697,875.3,175.2
1972,Louisiana,3.751,1008.4,209.3
1973,Louisiana,3.805,1028.2,192.9
1974,Louisiana,3.86,1117.4,172.8
1975,Louisiana,3.915,1280.8,190.9
1976,Louisiana,3.972,1479.1,322.0
1977,Louisiana,4.029,1577.7,649.7
1978,Louisiana,4.087,1775.9,681.4
1979,Louisiana,4.146,1954.0,734.0
1980,Louisiana,4.206,2272.2,907.9
1981,Louisiana,4.207,2656.7,1168.3
1982,Louisiana,4.209,2971.2,1286.7
1983,Louisiana,4.21,3067.2,1776.1
1984,Louisiana,4.212,3225.1,1671.6
1985,Louisiana,4.213,3321.7,1751.9
1986,Louisiana,4.214,3567.0,1588.0
1987,Louisiana,4.216,3457.1,1788.8
1988,Louisiana,4.217,3438.7,1504.1
1989,Louisiana,4.219,3752.8,1586.5
1990,Louisiana,4.22,4185.1,1654.8
1991,Louisiana,4.244,4519.0,2167.2
1992,Louisiana,4.269,4810.9,1028.3
1993,Louisiana,4.293,5000.9,1074.8
1994,Louisiana,4.318,5161.7,1062.7
1995,Louisiana,4.343,5535.2,1238.5
1996,Louisiana,4.368,5729.9,1227.9
1997,Louisiana,4.393,6005.2,1193.2
1998,Louisiana,4.418,6418.8,1190.0
1999,Louisiana,4.443,6979.0,1311.1
2000,Louisiana,4.469,7279.6,1124.0
2001,Louisiana,4.461,7645.6,1458.4
2002,Louisiana,4.466,8107.7,1382.8
2003,Louisiana,4.475,8470.7,1853.5
2004,Louisiana,4.489,8747.4,1536.6
2005,Louisiana,4.498,9117.7,1563.8
2006,Louisiana,4.24,9280.6,2351.6
2007,Louisiana,4.376,10262.5,4370.7
2008,Louisiana,4.452,11975.9,6732.8
2009,Louisiana,4.492,12398.9,4206.0
2010,Louisiana,4.545,12238.2,4270.2
2011,Louisiana,4.576,12323.3,3708.1
2012,Louisiana,4.602,12427.7,3422.9
2013,Louisiana,4.626,11628.6,2654.7
2014,Louisiana,4.646,11832.6,2281.8
2015,Louisiana,4.667,12011.0,2073.8
2016,Louisiana,4.681,12504.8,1863.9
2017,Louisiana,4.674,12540.4,1885.2
2018,Louisiana,4.664,12401.0,1775.2
2019,Louisiana,4.658,13325.9,1617.8
2020,Louisiana,4.645,14046.1,1543.3
2021,Louisiana,4.632,14657.8,1481.1
2022,Louisiana,4.619,15184.1,1443.5
2023,Louisiana,4.607,15635.4,1438.0
2024,Louisiana,4.594,16026.6,1468.2
2025,Louisiana,4.581,16379.9,1533.7
2026,Louisiana,4.568,16722.8,1631.4
1970,Maine,0.994,211.5,39.3
1971,Maine,1.006,251.5,59.9
1972,Maine,1.019,266.6,77.2
1973,Maine,1.031,284.2,72.1
1974,Maine,1.044,309.6,70.0
1975,Maine,1.057,359.7,95.6
1976,Maine,1.07,405.0,140.3
1977,Maine,1.084,439.5,265.6
1978,Maine,1.097,478.9,281.6
1979,Maine,1.111,511.5,286.7
1980,Maine,1.125,551.8,337.8
1981,Maine,1.135,593.6,402.4
1982,Maine,1.145,655.0,429.1
1983,Maine,1.155,705.0,462.6
1984,Maine,1.165,782.5,491.2
1985,Maine,1.175,845.8,571.7
1986,Maine,1.186,965.5,604.2
1987,Maine,1.196,1051.3,640.3
1988,Maine,1.207,1149.8,691.8
1989,Maine,1.217,1327.7,771.0
1990,Maine,1.228,1477.5,849.0
1991,Maine,1.233,1596.9,1124.9
1992,Maine,1.237,1632.9,656.8
1993,Maine,1.242,1631.7,687.5
1994,Maine,1.247,1660.0,632.4
1995,Maine,1.251,1686.3,694.8
1996,Maine,1.256,1806.0,699.2
1997,Maine,1.261,1948.7,726.8
1998,Maine,1.265,2049.8,684.1
1999,Maine,1.27,2091.3,677.1
2000,Maine,1.277,2254.5,692.4
2001,Maine,1.285,2382.6,855.9
2002,Maine,1.294,2516.5,878.6
2003,Maine,1.303,2709.4,1047.4
2004,Maine,1.308,2891.7,1042.7
2005,Maine,1.312,2896.6,1141.0
2006,Maine,1.315,3026.5,978.7
2007,Maine,1.317,3123.7,915.2
2008,Maine,1.32,3224.3,994.4
2009,Maine,1.318,3333.5,1112.4
2010,Maine,1.328,3404.2,1290.8
2011,Maine,1.328,3478.7,1299.1
2012,Maine,1.328,3357.0,1769.3
2013,Maine,1.329,3246.8,1612.4
2014,Maine,1.331,3312.3,1824.6
2015,Maine,1.329,3374.5,1422.9
2016,Maine,1.332,3459.4,1300.3
2017,Maine,1.336,3591.7,1283.3
2018,Maine,1.34,3739.7,1352.7
2019,Maine,1.346,3388.9,1500.6
2020,Maine,1.35,3277.3,1601.5
2021,Maine,1.355,3196.0,1693.6
2022,Maine,1.359,3173.4,1779.4
2023,Maine,1.363,3222.6,1858.7
2024,Maine,1.368,3347.0,1931.4
2025,Maine,1.372,3542.0,1998.1
2026,Maine,1.377,3797.0,2060.2
1970,Maryland,3.924,1123.7,196.8
1971,Maryland,3.952,1296.3,283.7
1972,Maryland,3.981,1491.0,423.9
1973,Maryland,4.01,1524.9,367.4
1974,Maryland,4.039,1622.5,378.2
1975,Maryland,4.068,2007.6,472.1
1976,Maryland,4.097,2141.7,624.4
1977,Maryland,4.127,2373.9,942.6
1978,Maryland,4.157,2449.6,887.8
1979,Maryland,4.187,2587.8,930.4
1980,Maryland,4.217,2739.2,1112.6
1981,Maryland,4.27,2955.6,1316.7
1982,Maryland,4.324,3110.2,1484.2
1983,Maryland,4.379,3357.1,1610.0
1984,Maryland,4.434,3604.4,1546.4
1985,Maryland,4.49,3652.0,1741.2
1986,Maryland,4.547,3975.3,1906.6
1987,Maryland,4.605,4333.0,2076.6
1988,Maryland,4.663,4708.4,2318.1
1989,Maryland,4.722,5109.6,2497.5
1990,Maryland,4.781,5784.4,2856.3
1991,Maryland,4.831,6561.3,3267.5
1992,Maryland,4.88,6378.4,2146.3
1993,Maryland,4.93,6751.8,2167.8
1994,Maryland,4.981,7186.1,2190.2
1995,Maryland,5.032,7542.4,2314.9
1996,Maryland,5.084,7849.8,2286.7
1997,Maryland,5.136,8431.8,2335.9
1998,Maryland,5.189,8700.6,2332.3
1999,Maryland,5.243,9349.1,2411.4
2000,Maryland,5.311,10248.3,2407.4
2001,Maryland,5.375,11341.1,3113.3
2002,Maryland,5.44,12476.3,2812.1
2003,Maryland,5.497,12705.5,3663.8
2004,Maryland,5.543,12701.6,3128.0
2005,Maryland,5.583,13718.0,3072.5
2006,Maryland,5.612,14598.2,3123.3
2007,Maryland,5.634,16015.2,3423.5
2008,Maryland,5.659,17446.4,3678.6
2009,Maryland,5.699,17633.3,4557.8
2010,Maryland,5.789,18364.1,5775.8
2011,Maryland,5.84,18481.8,5666.8
2012,Maryland,5.888,18827.0,5624.3
2013,Maryland,5.925,18642.0,5341.9
2014,Maryland,5.96,19624.2,5148.2
2015,Maryland,5.989,19777.2,4784.0
2016,Maryland,6.007,20226.4,4633.8
2017,Maryland,6.028,20995.9,4608.7
2018,Maryland,6.042,21495.0,4585.5
2019,Maryland,6.055,19664.0,4630.8
2020,Maryland,6.056,19221.8,4524.1
2021,Maryland,6.057,18955.4,4461.0
2022,Maryland,6.058,19021.9,4476.5
2023,Maryland,6.058,19488.5,4586.3
2024,Maryland,6.059,20364.2,4792.7
2025,Maryland,6.06,21615.9,5087.7
2026,Maryland,6.061,23178.2,5453.0
1970,Massachusetts,5.689,1219.6,441.7
1971,Massachusetts,5.694,1472.2,622.5
1972,Massachusetts,5.699,1888.9,733.9
1973,Massachusetts,5.703,1991.1,677.1
1974,Massachusetts,5.708,2165.7,679.2
1975,Massachusetts,5.713,2362.4,826.6
1976,Massachusetts,5.718,2522.7,1337.6
1977,Massachusetts,5.723,2845.7,2152.6
1978,Massachusetts,5.727,2808.0,1999.8
1979,Massachusetts,5.732,3222.7,2147.7
1980,Massachusetts,5.737,3300.1,2334.2
1981,Massachusetts,5.764,3477.0,2717.1
1982,Massachusetts,5.792,3356.2,2946.9
1983,Massachusetts,5.819,3571.0,3095.2
1984,Massachusetts,5.847,3819.2,3140.8
1985,Massachusetts,5.875,4315.3,3351.8
1986,Massachusetts,5.903,4708.4,3852.3
1987,Massachusetts,5.931,5117.7,4069.0
1988,Massachusetts,5.959,5554.6,4429.0
1989,Massachusetts,5.988,6019.9,5142.2
1990,Massachusetts,6.016,6286.8,6243.3
1991,Massachusetts,6.049,6494.7,7487.8
1992,Massachusetts,6.082,6563.8,4495.2
1993,Massachusetts,6.114,6798.7,4307.9
1994,Massachusetts,6.147,7522.4,4175.6
1995,Massachusetts,6.181,8094.9,4571.8
1996,Massachusetts,6.214,8219.3,4273.6
1997,Massachusetts,6.247,9030.3,4022.7
1998,Massachusetts,6.281,10032.0,3763.4
1999,Massachusetts,6.315,10681.9,3717.7
2000,Massachusetts,6.363,11673.1,3561.5
2001,Massachusetts,6.412,12706.3,4222.5
2002,Massachusetts,6.441,13672.7,5298.4
2003,Massachusetts,6.452,13885.2,6291.6
2004,Massachusetts,6.451,14850.3,4802.1
2005,Massachusetts,6.453,15326.1,4011.0
2006,Massachusetts,6.466,16397.9,4034.9
2007,Massachusetts,6.499,17054.2,5359.5
2008,Massachusetts,6.544,17568.2,5608.6
2009,Massachusetts,6.594,18517.0,7579.2
2010,Massachusetts,6.566,18572.4,10321.9
2011,Massachusetts,6.614,19312.3,9624.9
2012,Massachusetts,6.664,20656.0,9274.7
