homeownership_rate,state,year
71.5,Oklahoma,1999
72.7,Oklahoma,2000
71.5,Oklahoma,2001
69.6,Oklahoma,2002
69.1,Oklahoma,2003
71.1,Oklahoma,2004
72.9,Oklahoma,2005
71.6,Oklahoma,2006
70.3,Oklahoma,2007
70.4,Oklahoma,2008
69.6,Oklahoma,2009
69.2,Oklahoma,2010
69.4,Oklahoma,2011
68.8,Oklahoma,2012
69.9,Oklahoma,2013
69.3,Oklahoma,2014
67.4,Oklahoma,2015
66.8,Oklahoma,2016
68.9,Oklahoma,2017
69.5,Oklahoma,2018
68.8,Oklahoma,2019
71,Oklahoma,2020
61.7,Massachusetts,1984
60.5,Massachusetts,1985
60.3,Massachusetts,1986
60.6,Massachusetts,1987
60,Massachusetts,1988
58.9,Massachusetts,1989
58.6,Massachusetts,1990
60.2,Massachusetts,1991
61.8,Massachusetts,1992
60.7,Massachusetts,1993
60.6,Massachusetts,1994
60.2,Massachusetts,1995
61.7,Massachusetts,1996
62.3,Massachusetts,1997
61.3,Massachusetts,1998
60.3,Massachusetts,1999
59.9,Massachusetts,2000
60.6,Massachusetts,2001
62.6,Massachusetts,2002
64.3,Massachusetts,2003
63.8,Massachusetts,2004
63.4,Massachusetts,2005
65.2,Massachusetts,2006
64.3,Massachusetts,2007
65.7,Massachusetts,2008
65.1,Massachusetts,2009
65.3,Massachusetts,2010
65.3,Massachusetts,2011
65.8,Massachusetts,2012
65.3,Massachusetts,2013
63,Massachusetts,2014
60.5,Massachusetts,2015
59.7,Massachusetts,2016
60,Massachusetts,2017
61.5,Massachusetts,2018
61.3,Massachusetts,2019
62.7,Massachusetts,2020
61.9,Oregon,1984
61.5,Oregon,1985
63.9,Oregon,1986
64.6,Oregon,1987
64,Oregon,1988
63.4,Oregon,1989
64.4,Oregon,1990
65.2,Oregon,1991
64.3,Oregon,1992
63.8,Oregon,1993
63.9,Oregon,1994
63.2,Oregon,1995
63.1,Oregon,1996
61,Oregon,1997
63.4,Oregon,1998
64.3,Oregon,1999
65.3,Oregon,2000
65.8,Oregon,2001
66.2,Oregon,2002
68,Oregon,2003
69,Oregon,2004
68.2,Oregon,2005
68.1,Oregon,2006
65.7,Oregon,2007
66.2,Oregon,2008
68.2,Oregon,2009
66.3,Oregon,2010
66.4,Oregon,2011
66.1,Oregon,2012
64.2,Oregon,2013
62.8,Oregon,2014
61.1,Oregon,2015
62.6,Oregon,2016
61.8,Oregon,2017
62,Oregon,2018
62.4,Oregon,2019
65.2,Oregon,2020
72,West Virginia,1984
75.9,West Virginia,1985
76.4,West Virginia,1986
72.5,West Virginia,1987
73.2,West Virginia,1988
74.8,West Virginia,1989
72,West Virginia,1990
72.4,West Virginia,1991
73.3,West Virginia,1992
73.3,West Virginia,1993
73.7,West Virginia,1994
73.1,West Virginia,1995
74.3,West Virginia,1996
74.6,West Virginia,1997
74.8,West Virginia,1998
74.8,West Virginia,1999
75.9,West Virginia,2000
76.4,West Virginia,2001
77.2,West Virginia,2002
78.1,West Virginia,2003
80.3,West Virginia,2004
81.3,West Virginia,2005
78.4,West Virginia,2006
77.6,West Virginia,2007
77.8,West Virginia,2008
78.7,West Virginia,2009
79,West Virginia,2010
78.7,West Virginia,2011
75.8,West Virginia,2012
76.8,West Virginia,2013
75.6,West Virginia,2014
74.9,West Virginia,2015
74.8,West Virginia,2016
75.1,West Virginia,2017
74.7,West Virginia,2018
75.6,West Virginia,2019
78.2,West Virginia,2020
60.9,Rhode Island,1984
61.4,Rhode Island,1985
62.2,Rhode Island,1986
60.4,Rhode Island,1987
62,Rhode Island,1988
61.2,Rhode Island,1989
58.5,Rhode Island,1990
58.2,Rhode Island,1991
56.8,Rhode Island,1992
57.6,Rhode Island,1993
56.5,Rhode Island,1994
57.9,Rhode Island,1995
56.6,Rhode Island,1996
58.7,Rhode Island,1997
59.8,Rhode Island,1998
60.6,Rhode Island,1999
61.5,Rhode Island,2000
60.1,Rhode Island,2001
59.4,Rhode Island,2002
59.9,Rhode Island,2003
61.5,Rhode Island,2004
63.1,Rhode Island,2005
64.6,Rhode Island,2006
64.9,Rhode Island,2007
64.5,Rhode Island,2008
62.9,Rhode Island,2009
62.8,Rhode Island,2010
63.4,Rhode Island,2011
62.1,Rhode Island,2012
61.5,Rhode Island,2013
61.8,Rhode Island,2014
58.9,Rhode Island,2015
56.3,Rhode Island,2016
56.6,Rhode Island,2017
60.7,Rhode Island,2018
63.8,Rhode Island,2019
64.5,Rhode Island,2020
62.4,Illinois,1984
60.6,Illinois,1985
60.9,Illinois,1986
61,Illinois,1987
61.4,Illinois,1988
61.9,Illinois,1989
63,Illinois,1990
63,Illinois,1991
62.4,Illinois,1992
61.8,Illinois,1993
64.2,Illinois,1994
66.4,Illinois,1995
68.2,Illinois,1996
68.1,Illinois,1997
68,Illinois,1998
67.1,Illinois,1999
67.9,Illinois,2000
69.4,Illinois,2001
70.1,Illinois,2002
70.7,Illinois,2003
72.7,Illinois,2004
70.9,Illinois,2005
70.4,Illinois,2006
69.4,Illinois,2007
68.9,Illinois,2008
69.1,Illinois,2009
68.8,Illinois,2010
68.4,Illinois,2011
66.8,Illinois,2012
67.2,Illinois,2013
66.4,Illinois,2014
65.4,Illinois,2015
65.3,Illinois,2016
65.4,Illinois,2017
66,Illinois,2018
65.1,Illinois,2019
67.3,Illinois,2020
71.3,Iowa,1984
69.9,Iowa,1985
69.2,Iowa,1986
67.7,Iowa,1987
68.3,Iowa,1988
69.6,Iowa,1989
70.7,Iowa,1990
68.4,Iowa,1991
66.3,Iowa,1992
68.2,Iowa,1993
70.1,Iowa,1994
71.4,Iowa,1995
72.8,Iowa,1996
72.7,Iowa,1997
72.1,Iowa,1998
73.9,Iowa,1999
75.2,Iowa,2000
76.6,Iowa,2001
73.9,Iowa,2002
73.4,Iowa,2003
73.2,Iowa,2004
73.9,Iowa,2005
74,Iowa,2006
73.7,Iowa,2007
74,Iowa,2008
72.4,Iowa,2009
71.1,Iowa,2010
71.2,Iowa,2011
70.2,Iowa,2012
69.8,Iowa,2013
69.4,Iowa,2014
68.8,Iowa,2015
70,Iowa,2016
70,Iowa,2017
68.9,Iowa,2018
69.5,Iowa,2019
72.1,Iowa,2020
72.7,Kansas,1984
68.3,Kansas,1985
66.4,Kansas,1986
67.9,Kansas,1987
68.6,Kansas,1988
68.1,Kansas,1989
69,Kansas,1990
69.7,Kansas,1991
69.8,Kansas,1992
68.9,Kansas,1993
69,Kansas,1994
67.5,Kansas,1995
67.5,Kansas,1996
66.5,Kansas,1997
66.7,Kansas,1998
67.5,Kansas,1999
69.3,Kansas,2000
70.4,Kansas,2001
70.3,Kansas,2002
70.3,Kansas,2003
69.9,Kansas,2004
69.5,Kansas,2005
70,Kansas,2006
69.4,Kansas,2007
68.8,Kansas,2008
67.4,Kansas,2009
67.4,Kansas,2010
65.4,Kansas,2011
63.2,Kansas,2012
63.5,Kansas,2013
64.7,Kansas,2014
64.9,Kansas,2015
67.1,Kansas,2016
66,Kansas,2017
67.3,Kansas,2018
69.2,Kansas,2019
69.5,Kansas,2020
69.1,South Carolina,1984
72,South Carolina,1985
70.3,South Carolina,1986
72.8,South Carolina,1987
73.8,South Carolina,1988
71,South Carolina,1989
71.4,South Carolina,1990
73.1,South Carolina,1991
71,South Carolina,1992
71.1,South Carolina,1993
72,South Carolina,1994
71.3,South Carolina,1995
72.9,South Carolina,1996
74.1,South Carolina,1997
76.6,South Carolina,1998
77.1,South Carolina,1999
76.5,South Carolina,2000
76.1,South Carolina,2001
77.5,South Carolina,2002
75,South Carolina,2003
76.2,South Carolina,2004
73.9,South Carolina,2005
74.2,South Carolina,2006
74.1,South Carolina,2007
73.9,South Carolina,2008
74.4,South Carolina,2009
74.8,South Carolina,2010
74.2,South Carolina,2011
71.5,South Carolina,2012
72.4,South Carolina,2013
72.9,South Carolina,2014
67.1,South Carolina,2015
68.9,South Carolina,2016
72.8,South Carolina,2017
72,South Carolina,2018
72.6,South Carolina,2019
73.6,South Carolina,2020
74.1,Maine,1984
73.7,Maine,1985
74,Maine,1986
73.2,Maine,1987
72.2,Maine,1988
73.6,Maine,1989
74.2,Maine,1990
72,Maine,1991
72,Maine,1992
71.9,Maine,1993
72.6,Maine,1994
76.7,Maine,1995
76.5,Maine,1996
74.9,Maine,1997
74.6,Maine,1998
77.4,Maine,1999
76.5,Maine,2000
75.5,Maine,2001
74,Maine,2002
73.7,Maine,2003
74.7,Maine,2004
73.9,Maine,2005
75.3,Maine,2006
74.3,Maine,2007
73.9,Maine,2008
74,Maine,2009
73.8,Maine,2010
73.9,Maine,2011
74.1,Maine,2012
73.5,Maine,2013
71,Maine,2014
69.9,Maine,2015
72.6,Maine,2016
71,Maine,2017
71.2,Maine,2018
73.8,Maine,2019
77.1,Maine,2020
65.2,Wisconsin,1984
63.8,Wisconsin,1985
66.5,Wisconsin,1986
68.2,Wisconsin,1987
68,Wisconsin,1988
69.3,Wisconsin,1989
68.3,Wisconsin,1990
68.9,Wisconsin,1991
69.4,Wisconsin,1992
65.7,Wisconsin,1993
64.2,Wisconsin,1994
67.5,Wisconsin,1995
68.2,Wisconsin,1996
68.3,Wisconsin,1997
70.1,Wisconsin,1998
70.9,Wisconsin,1999
71.8,Wisconsin,2000
72.3,Wisconsin,2001
72.2,Wisconsin,2002
72.8,Wisconsin,2003
73.3,Wisconsin,2004
71.1,Wisconsin,2005
70.2,Wisconsin,2006
70.5,Wisconsin,2007
70.4,Wisconsin,2008
70.4,Wisconsin,2009
71,Wisconsin,2010
68.5,Wisconsin,2011
67.5,Wisconsin,2012
68.5,Wisconsin,2013
67.8,Wisconsin,2014
66.6,Wisconsin,2015
67.7,Wisconsin,2016
68,Wisconsin,2017
67.9,Wisconsin,2018
66.1,Wisconsin,2019
67.9,Wisconsin,2020
64.7,Colorado,1984
63.6,Colorado,1985
63.7,Colorado,1986
61.8,Colorado,1987
60.1,Colorado,1988
58.6,Colorado,1989
59,Colorado,1990
59.8,Colorado,1991
60.9,Colorado,1992
61.8,Colorado,1993
62.9,Colorado,1994
64.6,Colorado,1995
64.5,Colorado,1996
64.1,Colorado,1997
65.2,Colorado,1998
68.1,Colorado,1999
68.3,Colorado,2000
68.5,Colorado,2001
68.9,Colorado,2002
71.3,Colorado,2003
71.1,Colorado,2004
71,Colorado,2005
70.1,Colorado,2006
70.2,Colorado,2007
69,Colorado,2008
68.4,Colorado,2009
68.5,Colorado,2010
65.9,Colorado,2011
65.3,Colorado,2012
64.4,Colorado,2013
65,Colorado,2014
63.6,Colorado,2015
62.4,Colorado,2016
63.7,Colorado,2017
64.4,Colorado,2018
64.7,Colorado,2019
64.9,Colorado,2020
51.1,New York,1984
50.3,New York,1985
51.3,New York,1986
52,New York,1987
50.7,New York,1988
52.3,New York,1989
53.3,New York,1990
52.6,New York,1991
53.3,New York,1992
52.8,New York,1993
52.5,New York,1994
52.7,New York,1995
52.7,New York,1996
52.6,New York,1997
52.8,New York,1998
52.8,New York,1999
53.4,New York,2000
53.9,New York,2001
54.8,New York,2002
54.3,New York,2003
54.8,New York,2004
55.9,New York,2005
55.7,New York,2006
55.9,New York,2007
55,New York,2008
54.4,New York,2009
54.5,New York,2010
53.6,New York,2011
53.6,New York,2012
53,New York,2013
52.9,New York,2014
51.5,New York,2015
51.5,New York,2016
51.1,New York,2017
51,New York,2018
52,New York,2019
53.6,New York,2020
69.7,Idaho,1984
71,Idaho,1985
69.8,Idaho,1986
71.6,Idaho,1987
71.5,Idaho,1988
70.2,Idaho,1989
69.4,Idaho,1990
68.4,Idaho,1991
70.3,Idaho,1992
72.1,Idaho,1993
70.7,Idaho,1994
72,Idaho,1995
71.4,Idaho,1996
72.3,Idaho,1997
72.6,Idaho,1998
70.3,Idaho,1999
70.5,Idaho,2000
71.7,Idaho,2001
73,Idaho,2002
74.4,Idaho,2003
73.7,Idaho,2004
74.2,Idaho,2005
75.1,Idaho,2006
74.5,Idaho,2007
75,Idaho,2008
75.5,Idaho,2009
72.4,Idaho,2010
72.4,Idaho,2011
73,Idaho,2012
71.5,Idaho,2013
69.6,Idaho,2014
70,Idaho,2015
70.5,Idaho,2016
69.9,Idaho,2017
69.2,Idaho,2018
70.6,Idaho,2019
71.5,Idaho,2020
50.7,Hawaii,1984
51,Hawaii,1985
50.9,Hawaii,1986
50.7,Hawaii,1987
53.2,Hawaii,1988
54.7,Hawaii,1989
55.5,Hawaii,1990
55.2,Hawaii,1991
53.8,Hawaii,1992
52.8,Hawaii,1993
52.3,Hawaii,1994
50.2,Hawaii,1995
50.6,Hawaii,1996
50.2,Hawaii,1997
52.8,Hawaii,1998
56.6,Hawaii,1999
55.2,Hawaii,2000
55.5,Hawaii,2001
57.9,Hawaii,2002
58.3,Hawaii,2003
60.6,Hawaii,2004
59.8,Hawaii,2005
59.9,Hawaii,2006
60.1,Hawaii,2007
59.1,Hawaii,2008
59.5,Hawaii,2009
56.1,Hawaii,2010
55.4,Hawaii,2011
57.2,Hawaii,2012
57.3,Hawaii,2013
58.4,Hawaii,2014
59.3,Hawaii,2015
57.7,Hawaii,2016
55.9,Hawaii,2017
59.5,Hawaii,2018
60,Hawaii,2019
58.8,Hawaii,2020
65.9,Arkansas,1984
66.6,Arkansas,1985
67.5,Arkansas,1986
68.1,Arkansas,1987
67,Arkansas,1988
66.3,Arkansas,1989
67.8,Arkansas,1990
68.6,Arkansas,1991
70.3,Arkansas,1992
70.5,Arkansas,1993
68.1,Arkansas,1994
67.2,Arkansas,1995
66.6,Arkansas,1996
66.7,Arkansas,1997
66.7,Arkansas,1998
65.6,Arkansas,1999
68.9,Arkansas,2000
71.2,Arkansas,2001
70.3,Arkansas,2002
69.6,Arkansas,2003
69.1,Arkansas,2004
69.2,Arkansas,2005
70.8,Arkansas,2006
69.5,Arkansas,2007
68.9,Arkansas,2008
68.5,Arkansas,2009
67.9,Arkansas,2010
67.6,Arkansas,2011
66,Arkansas,2012
65.4,Arkansas,2013
65.4,Arkansas,2014
67.1,Arkansas,2015
67.6,Arkansas,2016
65,Arkansas,2017
64.7,Arkansas,2018
65.3,Arkansas,2019
68.8,Arkansas,2020
66.5,Florida,1984
67.2,Florida,1985
66.5,Florida,1986
66.3,Florida,1987
64.9,Florida,1988
64.4,Florida,1989
65.1,Florida,1990
66.1,Florida,1991
66,Florida,1992
65.5,Florida,1993
65.7,Florida,1994
66.6,Florida,1995
67.1,Florida,1996
66.9,Florida,1997
66.9,Florida,1998
67.6,Florida,1999
68.4,Florida,2000
69.2,Florida,2001
68.7,Florida,2002
69.5,Florida,2003
72.2,Florida,2004
72.4,Florida,2005
72.4,Florida,2006
71.8,Florida,2007
71.1,Florida,2008
70.9,Florida,2009
69.3,Florida,2010
69,Florida,2011
67,Florida,2012
66.1,Florida,2013
64.9,Florida,2014
64.8,Florida,2015
64.3,Florida,2016
64.1,Florida,2017
65.5,Florida,2018
66,Florida,2019
68.7,Florida,2020
72.3,Mississippi,1984
69.6,Mississippi,1985
70.4,Mississippi,1986
72.5,Mississippi,1987
73.7,Mississippi,1988
72.2,Mississippi,1989
69.4,Mississippi,1990
71.8,Mississippi,1991
70.4,Mississippi,1992
69.7,Mississippi,1993
69.2,Mississippi,1994
71.1,Mississippi,1995
73,Mississippi,1996
73.7,Mississippi,1997
75.1,Mississippi,1998
74.9,Mississippi,1999
75.2,Mississippi,2000
74.5,Mississippi,2001
74.9,Mississippi,2002
73.4,Mississippi,2003
74,Mississippi,2004
78.8,Mississippi,2005
76.2,Mississippi,2006
74,Mississippi,2007
75.4,Mississippi,2008
75.5,Mississippi,2009
74.8,Mississippi,2010
74.8,Mississippi,2011
74.2,Mississippi,2012
74.2,Mississippi,2013
73.2,Mississippi,2014
70.7,Mississippi,2015
69.7,Mississippi,2016
71,Mississippi,2017
72.5,Mississippi,2018
72.7,Mississippi,2019
74.2,Mississippi,2020
69.9,Indiana,1984
67.6,Indiana,1985
67.6,Indiana,1986
69.1,Indiana,1987
68.3,Indiana,1988
68.2,Indiana,1989
67,Indiana,1990
66.1,Indiana,1991
67.6,Indiana,1992
68.7,Indiana,1993
68.4,Indiana,1994
71,Indiana,1995
74.2,Indiana,1996
74.1,Indiana,1997
72.6,Indiana,1998
72.9,Indiana,1999
74.9,Indiana,2000
75.3,Indiana,2001
75.1,Indiana,2002
74.4,Indiana,2003
75.8,Indiana,2004
75,Indiana,2005
74.2,Indiana,2006
73.8,Indiana,2007
74.4,Indiana,2008
72,Indiana,2009
71.2,Indiana,2010
72.1,Indiana,2011
72.1,Indiana,2012
71.7,Indiana,2013
70.1,Indiana,2014
69.4,Indiana,2015
70.9,Indiana,2016
70,Indiana,2017
69.8,Indiana,2018
69.5,Indiana,2019
72.7,Indiana,2020
37.3,District of Columbia,1984
37.4,District of Columbia,1985
34.6,District of Columbia,1986
35.8,District of Columbia,1987
37.5,District of Columbia,1988
38.7,District of Columbia,1989
36.4,District of Columbia,1990
35.1,District of Columbia,1991
35,District of Columbia,1992
35.7,District of Columbia,1993
37.8,District of Columbia,1994
39.2,District of Columbia,1995
40.4,District of Columbia,1996
42.5,District of Columbia,1997
40.3,District of Columbia,1998
40,District of Columbia,1999
41.9,District of Columbia,2000
42.7,District of Columbia,2001
44.1,District of Columbia,2002
43,District of Columbia,2003
45.6,District of Columbia,2004
45.8,District of Columbia,2005
45.9,District of Columbia,2006
47.2,District of Columbia,2007
44.1,District of Columbia,2008
44.9,District of Columbia,2009
45.6,District of Columbia,2010
44.8,District of Columbia,2011
45,District of Columbia,2012
44.6,District of Columbia,2013
41.5,District of Columbia,2014
40.4,District of Columbia,2015
40.8,District of Columbia,2016
40.3,District of Columbia,2017
39.9,District of Columbia,2018
40.2,District of Columbia,2019
42.5,District of Columbia,2020
68.8,North Carolina,1984
68,North Carolina,1985
68.2,North Carolina,1986
68.4,North Carolina,1987
68.3,North Carolina,1988
69.4,North Carolina,1989
69,North Carolina,1990
69.3,North Carolina,1991
68.6,North Carolina,1992
68.8,North Carolina,1993
68.7,North Carolina,1994
70.1,North Carolina,1995
70.4,North Carolina,1996
70.2,North Carolina,1997
71.3,North Carolina,1998
71.7,North Carolina,1999
71.1,North Carolina,2000
71.3,North Carolina,2001
70,North Carolina,2002
70,North Carolina,2003
69.8,North Carolina,2004
70.9,North Carolina,2005
70.2,North Carolina,2006
70.3,North Carolina,2007
69.4,North Carolina,2008
70.1,North Carolina,2009
69.5,North Carolina,2010
68.3,North Carolina,2011
67.2,North Carolina,2012
67.3,North Carolina,2013
66.4,North Carolina,2014
65.2,North Carolina,2015
65.7,North Carolina,2016
66.3,North Carolina,2017
65.2,North Carolina,2018
65.1,North Carolina,2019
68.7,North Carolina,2020
